Width,Amplitude,Technique,average_in_ms,fitts_id,,,,Mouse,,FittsID:,Mouse Average:,TouchPadAverage:
0.2,1,Mouse,0.680259259,2.584962501,,,,TouchPad,,2.584962501,0.680259259,0.995444444
0.2,1,TouchPad,0.995444444,2.584962501,,,,,,3.459431619,0.710666667,0.983666667
0.2,2,Mouse,0.710666667,3.459431619,,,,,,4,0.744148148,0.937037037
0.2,2,TouchPad,0.983666667,3.459431619,,,,,,1.807354922,0.468962963,0.701703704
0.2,3,Mouse,0.744148148,4,,,,,,2.584962501,0.505703704,0.706925926
0.2,3,TouchPad,0.937037037,4,,,,,,3.087462841,0.553222222,0.741518519
0.4,1,Mouse,0.468962963,1.807354922,,,,,,1.415037499,0.452703704,0.599407407
0.4,1,TouchPad,0.701703704,1.807354922,,,,,,2.115477217,0.472962963,0.684
0.4,2,Mouse,0.505703704,2.584962501,,,,,,2.584962501,0.523518519,0.666037037
0.4,2,TouchPad,0.706925926,2.584962501,,,,,,,,
0.4,3,Mouse,0.553222222,3.087462841,,,,,,,,
0.4,3,TouchPad,0.741518519,3.087462841,,,,,,,,
0.6,1,Mouse,0.452703704,1.415037499,,,,,,,,
0.6,1,TouchPad,0.599407407,1.415037499,,,,,,,,
0.6,2,Mouse,0.472962963,2.115477217,,,,,,,,
0.6,2,TouchPad,0.684,2.115477217,,,,,,,,
0.6,3,Mouse,0.523518519,2.584962501,,,,,,,,
0.6,3,TouchPad,0.666037037,2.584962501,,,,,,,,
